abs_avik=calc,avvik=calc,PowerD=calc,joySide=meas,Ts=calc,Tid=meas,joyForward=meas,TvD=calc,Lys=meas,refferanse=calc,TvA=calc,MAEList=calc,IAEList=calc,PowerA=calc
Lys0=36
,0,0.234375,-2.34375,0.005,0,-1.171875,0,36,36,0,0,0,-1.40625
,0,2.9296875,0,0.02099800109863281,0.02099800109863281,5.859375,2.6953125,36,36,4.3359375,0,0,2.9296875
,0,3.02734375,0,0.014112949371337894,0.0351109504699707,6.0546875,2.79296875,36,36,4.43359375,0,0,3.02734375
,0,3.90625,0,0.018059968948364258,0.05317091941833496,7.8125,3.671875,36,36,5.3125,0,0,3.90625
,-1,3.90625,0,0.010187149047851562,0.06335806846618652,7.8125,3.671875,37,36,5.3125,0,0.010187149047851562,3.90625
,-1,3.90625,0,0.015141963958740234,0.07850003242492676,7.8125,3.671875,37,36,5.3125,-0.2,0.025329113006591797,3.90625
,0,3.90625,0,0.016750097274780273,0.09525012969970703,7.8125,3.671875,36,36,5.3125,-0.3333333333333333,0.025329113006591797,3.90625
,-1,3.90625,0,0.010164976119995076,0.1054151058197021,7.8125,3.671875,37,36,5.3125,-0.2857142857142857,0.03549408912658687,3.90625
,-1,3.90625,0,0.020771026611328194,0.1261861324310303,7.8125,3.671875,37,36,5.3125,-0.375,0.05626511573791507,3.90625
,-1,3.90625,0,0.007683992385864202,0.1338701248168945,7.8125,3.671875,37,36,5.3125,-0.4444444444444444,0.06394910812377927,3.90625
,-1,3.90625,0,0.01004290580749509,0.1439130306243896,7.8125,3.671875,37,36,5.3125,-0.5,0.07399201393127436,3.90625
,0,3.90625,0,0.014776945114135798,0.1586899757385254,7.8125,3.671875,36,36,5.3125,-0.5454545454545454,0.07399201393127436,3.90625
,0,3.90625,0,0.0100030899047851,0.1686930656433105,7.8125,3.671875,36,36,5.3125,-0.5,0.07399201393127436,3.90625
,-1,3.90625,0,0.00611186027526861,0.1748049259185791,7.8125,3.671875,37,36,5.3125,-0.46153846153846156,0.08010387420654297,3.90625
,-1,3.90625,0,0.011636018753051786,0.1864409446716309,7.8125,3.671875,37,36,5.3125,-0.5,0.09173989295959475,3.90625
,0,3.90625,0,0.01534914970397952,0.2017900943756104,7.8125,3.671875,36,36,5.3125,-0.5333333333333333,0.09173989295959475,3.90625
,0,4.58984375,0,0.02358889579772938,0.2253789901733398,9.1796875,4.35546875,36,36,5.99609375,-0.5,0.09173989295959475,4.58984375
,-1,4.58984375,0,0.008016109466552818,0.2333950996398926,9.1796875,4.35546875,37,36,5.99609375,-0.47058823529411764,0.09975600242614757,4.58984375
,0,5.859375,0,0.021898031234741183,0.2552931308746338,11.71875,5.625,36,36,7.265625,-0.5,0.09975600242614757,5.859375
,-1,5.859375,0,0.007926940917968694,0.2632200717926025,11.71875,5.625,37,36,7.265625,-0.47368421052631576,0.10768294334411627,5.859375
,0,6.640625,0,0.014221906661987305,0.2774419784545898,13.28125,6.40625,36,36,8.046875,-0.5,0.10768294334411627,6.640625
,-1,6.640625,0,0.009779930114746094,0.2872219085693359,13.28125,6.40625,37,36,8.046875,-0.47619047619047616,0.11746287345886236,6.640625
,0,6.640625,0,0.009469032287597712,0.2966909408569336,13.28125,6.40625,36,36,8.046875,-0.5,0.11746287345886236,6.640625
,0,6.640625,0,0.017165184020996094,0.3138561248779297,13.28125,6.40625,36,36,8.046875,-0.4782608695652174,0.11746287345886236,6.640625
,0,6.640625,0,0.007500886917114202,0.3213570117950439,13.28125,6.40625,36,36,8.046875,-0.4583333333333333,0.11746287345886236,6.640625
,0,6.640625,0,0.007412910461425837,0.3287699222564697,13.28125,6.40625,36,36,8.046875,-0.44,0.11746287345886236,6.640625
,0,6.640625,0,0.015316009521484375,0.3440859317779541,13.28125,6.40625,36,36,8.046875,-0.4230769230769231,0.11746287345886236,6.640625
,0,6.640625,0,0.013280153274536077,0.3573660850524902,13.28125,6.40625,36,36,8.046875,-0.4074074074074074,0.11746287345886236,6.640625
,0,6.640625,0,0.008613824844360407,0.3659799098968506,13.28125,6.40625,36,36,8.046875,-0.39285714285714285,0.11746287345886236,6.640625
,-1,7.421875,0,0.0082550048828125,0.3742349147796631,14.84375,7.1875,37,36,8.828125,-0.3793103448275862,0.12571787834167486,7.421875
,0,7.421875,0,0.01441717147827154,0.3886520862579346,14.84375,7.1875,36,36,8.828125,-0.4,0.12571787834167486,7.421875
,0,7.421875,0,0.015229940414428655,0.4038820266723633,14.84375,7.1875,36,36,8.828125,-0.3870967741935484,0.12571787834167486,7.421875
,0,7.421875,0,0.012413024902343694,0.416295051574707,14.84375,7.1875,36,36,8.828125,-0.375,0.12571787834167486,7.421875
,0,7.421875,0,0.009094953536987305,0.4253900051116943,14.84375,7.1875,36,36,8.828125,-0.36363636363636365,0.12571787834167486,7.421875
,0,7.421875,0,0.008383035659790095,0.4337730407714844,14.84375,7.1875,36,36,8.828125,-0.35294117647058826,0.12571787834167486,7.421875
,0,7.421875,0,0.010480880737304743,0.4442539215087891,14.84375,7.1875,36,36,8.828125,-0.34285714285714286,0.12571787834167486,7.421875
