Lys=calc,Referanse=calc,HastighetMotorD=meas,Filtrert_Avvik=calc,Filtrert_Avvik_Derivert=calc,MAElist=calc,Avvik=calc,TvD=calc,IAElist=calc,abs_Avvik=calc,VinkelPosMotorA=meas,HastighetMotorA=meas,TvA=calc,PowerA=calc,Avstand=meas,VinkelPosMotorD=meas,Power=calc,Ts=calc,PowerD=calc,Integrert_Avvik=calc,Tid=meas
No specified init-data
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.005,0,0,0
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.01220178604125977,0,0,0.01220178604125977
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.01131510734558105,0,0,0.02351689338684082
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.007818937301635742,0,0,0.03133583068847656
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.00657200813293457,0,0,0.03790783882141113
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.1275169849395752,0,0,0.1654248237609863
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.008005142211914063,0,0,0.1734299659729004
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.007272958755493164,0,0,0.1807029247283936
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.01199603080749512,0,0,0.1926989555358887
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.0559239387512207,0,0,0.2486228942871094
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.005422115325927734,0,0,0.2540450096130371
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.007213830947875977,0,0,0.2612588405609131
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.009549140930175781,0,0,0.2708079814910889
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.006987810134887695,0,0,0.2777957916259766
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.00693202018737793,0,0,0.2847278118133545
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.00751805305480957,0,0,0.2922458648681641
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.007497072219848633,0,0,0.2997429370880127
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.01027703285217285,0,0,0.3100199699401855
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.007561922073364258,0,0,0.3175818920135498
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.009294033050537109,0,0,0.3268759250640869
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.006331920623779297,0,0,0.3332078456878662
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.007091999053955078,0,0,0.3402998447418213
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.007602930068969727,0,0,0.347902774810791
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.006004095077514648,0,0,0.3539068698883057
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.006845951080322266,0,0,0.3607528209686279
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.008216142654418945,0,0,0.3689689636230469
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.01044201850891113,0,0,0.379410982131958
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.0047149658203125,0,0,0.3841259479522705
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.007791996002197266,0,0,0.3919179439544678
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.007231950759887695,0,0,0.3991498947143555
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.006396055221557617,0,0,0.4055459499359131
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.006754875183105469,0,0,0.4123008251190186
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.01163101196289063,0,0,0.4239318370819092
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.0131080150604248,0,0,0.437039852142334
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.007216930389404297,0,0,0.4442567825317383
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.006985187530517578,0,0,0.4512419700622559
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.00660395622253418,0,0,0.45784592628479
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.006006002426147461,0,0,0.4638519287109375
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.01142287254333496,0,0,0.4752748012542725
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.006937980651855469,0,0,0.4822127819061279
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.007394075393676758,0,0,0.4896068572998047
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.008168935775756836,0,0,0.4977757930755615
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.006966114044189453,0,0,0.504741907119751
,353,0,0,0,0,0,,0,0,0,0,,0,353,0,0,0.006715059280395508,0,0,0.5114569664001465
