TvA=calc,IAElist=calc,HastighetMotorA=meas,Ts=calc,Referanse=calc,PowerA=calc,HastighetMotorD=meas,MAElist=calc,PowerD=calc,VinkelPosMotorA=meas,Avvik=calc,abs_Avvik=calc,Avvik_Integrert=calc,TvD=calc,VinkelPosMotorD=meas,Lys=meas,Derivert_Avvik_IIR=calc,Avvik_IIR=calc,Tid=meas
Lys0=34
0,0,0,0.005,34,0,0,0,0,0,0,0,0,0,0,34,0,0,0
20.0,0,0,0.008049964904785156,34,20.0,0,0,20.0,0,0,0,0,20.0,0,34,0,0,0.008049964904785156
20.0,0,0,0.005429983139038084,34,20.0,0,0,20.0,0,0,0,0,20.0,0,34,0,0,0.01347994804382324
20.0,0,3,0.00694799423217774,34,20.0,0,0,20.0,1,0,0,0,20.0,0,34,0,0,0.02042794227600098
20.0,0,3,0.0037600994110107387,34,20.0,0,0,20.0,1,0,0,0,20.0,0,34,0,0,0.02418804168701172
20.0,0,6,0.015027046203613281,34,20.0,7,0,20.0,1,0,0,0,20.0,1,34,0,0,0.039215087890625
20.0,0,12,0.00627589225769043,34,20.0,15,0,20.0,2,0,0,0,20.0,2,34,0,0,0.04549098014831543
20.0,0,12,0.006648063659667969,34,20.0,38,0,20.0,2,0,0,0,20.0,2,34,0,0,0.0521390438079834
20.0,0,46,0.00808405876159668,34,20.0,78,0,20.0,3,0,0,0,20.0,3,34,0,0,0.06022310256958008
20.0,0,75,0.012269973754882812,34,20.0,84,0,20.0,4,0,0,0,20.0,4,34,0,0,0.07249307632446289
20.0,0,86,0.0057489871978759766,34,20.0,96,0,20.0,4,0,0,0,20.0,5,34,0,0,0.07824206352233887
20.0,0,92,0.012655019760131836,34,20.0,92,0,20.0,5,0,0,0,20.0,6,34,0,0,0.0908970832824707
20.0,0,98,0.009693861007690402,34,20.0,103,0,20.0,6,0,0,0,20.0,7,34,0,0,0.1005909442901611
20.0,0,97,0.0048339366912841936,34,20.0,108,0,20.0,7,0,0,0,20.0,8,34,0,0,0.1054248809814453
20.0,0,97,0.008827209472656306,34,20.0,110,0,20.0,8,0,0,0,20.0,8,34,0,0,0.1142520904541016
20.0,0,97,0.006527900695800698,34,20.0,117,0,20.0,8,0,0,0,20.0,9,34,0,0,0.1207799911499023
20.0,0,95,0.008874893188476604,34,20.0,119,0,20.0,9,0,0,0,20.0,10,34,0,0,0.1296548843383789
20.0,0,93,0.00847411155700678,34,20.0,119,0,20.0,10,0,0,0,20.0,11,34,0,0,0.1381289958953857
20.0,0,93,0.005485057830810602,34,20.0,121,0,20.0,10,0,0,0,20.0,12,34,0,0,0.1436140537261963
20.0,0,88,0.005632877349853516,34,20.0,121,0,20.0,11,0,0,0,20.0,12,34,0,0,0.1492469310760498
20.0,0,86,0.005663156509399386,34,20.0,121,0,20.0,11,0,0,0,20.0,14,34,0,0,0.1549100875854492
20.0,0,85,0.006705999374389704,34,20.0,122,0,20.0,12,0,0,0,20.0,14,34,0,0,0.1616160869598389
22.129533786287833,-0.006175994873046792,85,0.006175994873046792,34,22.129533786287833,123,0,17.870466213712167,12,-1,1,0,22.129533786287833,15,35,-0.6476689314391687,-0.02,0.1677920818328857
22.145847840973147,-0.011601924896240207,85,0.005425930023193415,34,22.145847840973147,125,-0.043478260869565216,17.854152159026853,13,-1,1,-0.0027129650115967074,22.145847840973147,16,35,-0.7224567923367531,-0.039599999999999996,0.1732180118560791
22.176089082358125,-0.01842880249023429,93,0.006826877593994085,34,22.11560659958817,125,-0.08333333333333333,17.88439340041183,14,-1,1,-0.00612640380859375,22.176089082358125,16,35,-0.5627169884193662,-0.058808,0.1800448894500732
22.20545539135785,-0.02774190902709961,94,0.009313106536865318,34,22.086240290588442,127,-0.12,17.913759709411558,14,-1,1,-0.010782957077026409,22.20545539135785,18,35,-0.4042440602496507,-0.07763184,0.1893579959869385
22.239667591649013,-0.03424692153930661,94,0.0065050125122070035,34,22.120452490879604,126,-0.15384615384615385,17.879547509120396,15,-1,1,-0.01403546333312991,22.239667591649013,18,35,-0.5671737960651893,-0.09607920319999999,0.1958630084991455
